G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0,Enabled,  77.789, 259.490,-1442.035, 0.0355065, 0.7860135, 0.6165324, 0.0284552,0.29867953062057495,Enabled,  98.732, 304.052,-1436.762, 0.0099852, 0.0110574,-0.7351319, 0.6777604,0.2649575173854828,
G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0,Enabled,  77.803, 259.496,-1442.066, 0.0352568, 0.7860212, 0.6165500, 0.0281745,0.30099496245384216,Enabled,  98.763, 304.004,-1436.743, 0.0099320, 0.0109745,-0.7349620, 0.6779467,0.26331526041030884,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.160, 203.612,-1407.717, 0.0452354,-0.7605006,-0.6438622, 0.0709520,0.3783777356147766,Enabled,  98.762, 303.980,-1436.765, 0.0098218, 0.0107227,-0.7349563, 0.6779585,0.26507630944252014,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.175, 203.621,-1407.851, 0.0459101,-0.7604593,-0.6437474, 0.0719945,0.3709356188774109,Enabled,  98.753, 304.011,-1436.762, 0.0098715, 0.0108147,-0.7350510, 0.6778537,0.26606348156929016,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.166, 203.616,-1407.961, 0.0459282,-0.7604409,-0.6437464, 0.0721852,0.3732771873474121,Enabled,  98.693, 304.005,-1436.737, 0.0100683, 0.0110672,-0.7350502, 0.6778476,0.2658454477787018,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.167, 203.622,-1407.840, 0.0450205,-0.7605358,-0.6438313, 0.0709909,0.37123826146125793,Enabled,  98.683, 303.967,-1436.712, 0.0100766, 0.0110292,-0.7349215, 0.6779877,0.26647090911865234,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.183, 203.614,-1407.907, 0.0460595,-0.7604730,-0.6437098, 0.0720901,0.37233543395996094,Enabled,  98.718, 304.005,-1436.740, 0.0099862, 0.0109524,-0.7350496, 0.6778513,0.26375073194503784,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.185, 203.603,-1407.863, 0.0458980,-0.7604966,-0.6437123, 0.0719225,0.3720071017742157,Enabled,  98.692, 303.983,-1436.718, 0.0100872, 0.0110284,-0.7349814, 0.6779225,0.26619797945022583,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.176, 203.589,-1407.785, 0.0448094,-0.7605808,-0.6438246, 0.0707026,0.37553516030311584,Enabled,  98.699, 303.966,-1436.717, 0.0100047, 0.0109766,-0.7349171, 0.6779943,0.26118049025535583,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.190, 203.610,-1407.679, 0.0461380,-0.7604831,-0.6437474, 0.0715964,0.37168675661087036,Enabled,  98.729, 303.987,-1436.740, 0.0099685, 0.0109022,-0.7349671, 0.6779419,0.2620747983455658,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.170, 203.591,-1407.712, 0.0454996,-0.7605067,-0.6438167, 0.0711291,0.37604251503944397,Enabled,  98.725, 303.978,-1436.727, 0.0099673, 0.0109015,-0.7349708, 0.6779379,0.2585088610649109,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  81.076, 203.579,-1407.569, 0.0452323,-0.7604184,-0.6440076, 0.0705144,0.3770044147968292,Enabled,  98.639, 304.004,-1436.724, 0.0102016, 0.0112039,-0.7350496, 0.6778440,0.2639695107936859,
G0 X432 Y1008 Z1008 A-73 B-50 C0\n,27,63,63,-73,-50,0,Enabled,  80.984, 203.559,-1407.567, 0.0459931,-0.7602102,-0.6441060, 0.0713615,0.37320080399513245,Enabled,  98.720, 303.983,-1436.722, 0.0100089, 0.0109567,-0.7349744, 0.6779324,0.2646155059337616,
