G0 X0 Y0 Z0 A0 B0 C0\n,0,0,0,0,0,0,Enabled,73.379,93.19,-1385.815,0.1903456,0.8641405,0.4658644,-0.000266,0.11643898487091064,Enabled,97.516,137.671,-1390.023,0.010467,0.0207764,-0.6705143,0.7415317,0.3129141628742218
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.275,43.296,-1379.12,0.0052228,0.8875868,0.4552971,-0.0697642,0.1293499767780304,Enabled,97.548,137.704,-1389.968,0.0105216,0.0206885,-0.6704871,0.7415581,0.30913853645324707
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.258,43.317,-1379.179,0.0054533,0.8875585,0.4553483,-0.0697726,0.12381105870008469,Enabled,97.552,137.709,-1389.977,0.0105164,0.0206891,-0.6705216,0.7415268,0.3031717836856842
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.296,43.328,-1379.098,0.0062862,0.8876064,0.4553495,-0.0690804,0.1257074922323227,Enabled,97.567,137.703,-1389.984,0.0104603,0.0206157,-0.6705219,0.7415295,0.30417582392692566
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.351,43.307,-1379.061,0.0049633,0.8876992,0.4550962,-0.0696628,0.11739826202392578,Enabled,97.592,137.701,-1389.998,0.0103863,0.0205178,-0.6704831,0.7415683,0.30959102511405945
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.409,43.269,-1378.997,0.0044219,0.8877918,0.4548995,-0.0698046,0.12241861969232559,Enabled,97.557,137.711,-1389.99,0.0105026,0.0206744,-0.6704978,0.741549,0.29960277676582336
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.398,43.21,-1379.022,0.0040585,0.8878316,0.4548009,-0.0699616,0.12185071408748627,Enabled,97.552,137.697,-1389.984,0.0105197,0.0206916,-0.6704464,0.7415948,0.3008174002170563
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.347,43.189,-1379.036,0.0059368,0.8878028,0.4549869,-0.0689781,0.11750086396932602,Enabled,97.535,137.698,-1389.967,0.0105961,0.0207237,-0.6704406,0.7415981,0.30927762389183044
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.278,43.194,-1378.973,0.0059749,0.8877679,0.4551044,-0.0686475,0.11736141890287399,Enabled,97.559,137.723,-1390.002,0.01051,0.0206648,-0.670576,0.7414784,0.29005834460258484
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.259,43.163,-1378.934,0.0063812,0.8878171,0.4550733,-0.0681788,0.11895338445901871,Enabled,97.532,137.706,-1389.971,0.0105789,0.0207576,-0.6705025,0.7415413,0.30529165267944336
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.214,43.162,-1378.886,0.0073361,0.8877997,0.4551947,-0.0674953,0.1198367103934288,Enabled,97.533,137.694,-1389.957,0.010576,0.0207584,-0.6704733,0.7415677,0.3084562420845032
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.157,43.154,-1378.993,0.0060928,0.8877513,0.4551747,-0.068385,0.12195641547441483,Enabled,97.538,137.73,-1389.992,0.0105756,0.0207301,-0.6706175,0.7414382,0.3009706735610962
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.146,43.137,-1379.116,0.0065828,0.8877336,0.4551881,-0.0684799,0.1253199279308319,Enabled,97.549,137.712,-1389.982,0.0105306,0.0207206,-0.6705381,0.7415109,0.30905404686927795
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.216,43.131,-1378.928,0.0064428,0.8878216,0.4550808,-0.068065,0.12256687879562378,Enabled,97.551,137.72,-1389.984,0.0105277,0.0206733,-0.6705287,0.7415208,0.31252768635749817
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.248,43.134,-1378.927,0.0074627,0.8878536,0.455084,-0.0675188,0.11818280071020126,Enabled,97.572,137.695,-1389.97,0.0104549,0.0205779,-0.6704313,0.7416125,0.31384003162384033
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.282,43.135,-1378.946,0.0064747,0.8878786,0.4549597,-0.0681277,0.12040725350379944,Enabled,97.533,137.7,-1389.97,0.0105893,0.0207393,-0.6704689,0.7415721,0.302592933
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.279,43.145,-1379.082,0.0062637,0.8878238,0.4549799,-0.0687238,0.1211911290884018,Enabled,97.568,137.718,-1389.986,0.0105028,0.0206322,-0.6705389,0.7415131,0.29479485750198364
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.295,43.144,-1379.08,0.0057449,0.8878316,0.4549085,-0.0691389,0.11916841566562653,Enabled,97.558,137.705,-1389.99,0.0104833,0.0206298,-0.6704917,0.741556,0.3044188916683197
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.348,43.127,-1379.024,0.0056062,0.8878865,0.4548235,-0.0690058,0.12108127772808075,Enabled,97.556,137.715,-1389.998,0.010497,0.0206651,-0.6705596,0.7414935,0.31362342834472656
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.37,43.105,-1379.054,0.0053637,0.887921,0.4547282,-0.0692082,0.12028923630714417,Enabled,97.537,137.705,-1389.973,0.0106027,0.020766,-0.6705198,0.7415252,0.29440638422966003
G0 X432 Y944 Z1088 A0 B0 C0\n,27,59,68,0,0,0,Enabled,47.418,43.08,-1378.939,0.0070683,0.8880308,0.4546961,-0.0678435,0.12363632023334503,Enabled,97.534,137.733,-1389.991,0.0105697,0.0207609,-0.6706088,0.7414453,0.3007843792438507
